Customer Voucher Discount,Membership ID,Sales Grouping,Sales Region,Sub-Grouping,Purchase Date,Profit Amount,Units,Revenue
0,JLM|785169,Games,South,Microsoft,1/10/2048,630,2,1400
0.3,TGM|683333,Merchandise,South,Mugs,1/04/2011,1,2,4
0.3,HKD|594444,Merchandise,South,Decals,1/07/2020,11,5,36
0.8,TSP|231650,Consoles,South,PS5,1/09/2037,138,5,344
0.9,NLT|094683,Merchandise,West,Toys,1/06/2040,207,6,590
0.3,JCT|436364,Merchandise,South,Toys,1/11/2013,3,2,7
0.9,NCD|813333,Merchandise,South,Decals,1/04/2011,9,2,20
0.2,BDX|268698,Consoles,East,XBox,1/08/2041,30,1,241
0.2,LPN|578167,Games,Central,Nintendo,1/09/2048,250,4,2003
0.6,BOV|010376,Consoles,East,Vintage,1/11/2014,-112,5,373
0.3,RFM|244706,Merchandise,Central,Mugs,1/04/2042,23,7,57
0.4,BBD|569231,Merchandise,West,Decals,1/12/2002,4,2,9
0,PBP|302676,Consoles,West,PS5,1/11/2039,40,5,200
0.5,SWN|639820,Games,Central,Nintendo,1/08/2001,135,2,518
0,DBD|337349,Merchandise,East,Decals,1/08/2012,80,3,166
0.5,CKS|811173,Games,Central,Sony,1/02/2001,-13,3,119
0.7,SMS|575758,Games,East,Sony,1/07/1996,35,5,133
0.6,DBC|952308,Merchandise,South,Clothing,1/03/2009,4,1,44
0.9,BKD|798333,Merchandise,East,Decals,1/04/2011,19,2,40
0.2,PBT|283784,Merchandise,West,Toys,1/08/1998,60,6,173
0.5,EBP|285294,Consoles,Central,PS5,1/01/2008,-8,3,22
0.5,BDS|094444,Games,East,Sony,1/07/2020,15,3,60
0.5,SOS|253747,Merchandise,South,Storage Equipment,1/08/1995,-3,2,258
0.4,EHT|048212,Merchandise,East,Toys,1/05/2001,302,5,896
0.1,KNC|367123,Merchandise,Central,Clothing,1/05/2003,-122,2,49
0.7,DST|279130,Merchandise,West,Toys,1/12/2002,-59,4,77
0.5,ABM|111111,Merchandise,West,Mugs,1/11/2003,5,3,18
0.8,BFB|566667,Merchandise,Central,Batteries,1/02/2039,6,4,16
0.8,MYN|995628,Consoles,East,Nintendo Switch,1/11/2035,-35,3,611
0.3,BNS|706250,Merchandise,West,Storage Equipment,1/07/2004,3,1,11
0.7,CAF|576923,Merchandise,Central,Furniture,1/02/2010,-15,9,69
0.4,NBN|381013,Games,Central,Nintendo,1/06/2008,42,3,370
0.8,SBN|279167,Games,East,Nintendo,1/09/2048,4,3,32
0.4,BSC|033219,Merchandise,East,Clothing,1/12/2001,22,4,195
0.5,RDP|942308,Consoles,Central,PS5,1/03/2009,5,3,17
0.6,GHT|011111,Merchandise,South,Toys,1/11/2003,-8,5,12
0.2,PPP|551802,Consoles,East,PS5,1/02/2000,30,7,148
0.2,BSP|493438,Consoles,West,PS5,1/01/2020,0,6,509
0.3,SBX|721922,Consoles,Central,XBox,1/01/2010,-70,5,493
0.9,AFT|285185,Merchandise,West,Toys,1/07/2000,7,7,18
0,CRN|953297,Consoles,South,Nintendo Switch,1/04/2008,30,2,122
0.5,MLS|925926,Games,West,Sony,1/05/2010,15,2,72
0,CKF|972222,Merchandise,West,Furniture,1/03/2002,0,3,12
0.6,NCD|369298,Merchandise,Central,Decals,1/05/2008,36,2,76
0.6,MCS|729032,Games,Central,Sony,1/07/2007,-4,2,21
0.2,MCB|836145,Merchandise,South,Batteries,1/10/2047,19,6,55
0.5,GGN|108333,Games,West,Nintendo,1/04/2011,3,1,8
0.9,LRS|908772,Merchandise,West,Storage Equipment,1/08/1997,29,2,114
0.1,TSS|917290,Merchandise,South,Storage Equipment,1/09/2007,18,1,143
0.2,APD|288922,Merchandise,West,Decals,1/01/2010,70,9,223
0.1,MST|562088,Merchandise,West,Toys,1/02/2045,38,13,122
0.2,BBB|404255,Merchandise,West,Batteries,1/11/2004,10,5,32
0.6,HFN|183565,Games,West,Nintendo,1/08/2030,24,2,240
0.4,FOM|994340,Merchandise,Central,Mugs,1/11/2011,2,8,36
0.1,GBS|448120,Merchandise,East,Storage Equipment,1/08/2046,-38,2,178
0.2,LAN|477172,Games,Central,Nintendo,1/03/2001,40,3,454
0.6,PVM|542424,Merchandise,Central,Mugs,1/11/2018,4,7,22
0.5,MLN|718844,Consoles,West,Nintendo Switch,1/07/2003,-43,3,312
0.9,KHN|276111,Games,West,Nintendo,1/11/2003,7,1,120
0.4,CST|408333,Merchandise,South,Toys,1/04/2011,-6,5,8
0.4,DKC|622148,Merchandise,East,Clothing,1/03/2002,12,2,99
0.5,AGN|269804,Consoles,Central,Nintendo Switch,1/04/2000,-12,4,170
0.7,DKS|954128,Merchandise,South,Storage Equipment,1/12/2046,-55,3,218
0.6,TMD|828169,Merchandise,Central,Decals,1/10/2048,46,5,95
0.7,MLP|894168,Consoles,West,PS5,1/05/2001,107,9,630
0.1,JWD|790036,Merchandise,West,Decals,1/05/2007,181,9,369
0.4,HMT|028571,Merchandise,East,Toys,1/02/2031,2,1,5
0.5,LPD|549020,Merchandise,West,Decals,1/02/2008,15,8,34
0.6,JDM|642593,Games,West,Microsoft,1/12/2032,24,3,72
0.7,SZN|796610,Games,Central,Nintendo,1/05/2034,15,3,197
0.6,MVX|070752,Consoles,West,XBox,1/01/1996,14,2,240
0.3,DKN|137728,Games,Central,Nintendo,1/01/2044,223,5,770
0.3,TSN|871910,Games,East,Nintendo,1/01/2009,-28,3,119
0.1,DMN|038515,Games,East,Nintendo,1/06/2026,81,3,288
0.9,JOX|816787,Consoles,West,XBox,1/11/1998,7,5,557
0.2,KMN|516211,Consoles,Central,Nintendo Switch,1/04/2001,-18,3,317
0.1,JBC|505340,Merchandise,East,Clothing,1/11/2011,61,2,138
0.8,VSM|740845,Merchandise,South,Mugs,1/08/2003,6,3,48
0.9,BFT|459375,Merchandise,West,Toys,1/10/2014,7,5,21
0.6,JHT|425581,Merchandise,Central,Toys,1/12/2031,26,9,57
0.4,DKP|415789,Consoles,West,PS5,1/01/1999,4,3,12
0.2,YSP|123232,Consoles,West,PS5,1/01/2003,22,3,66
0.7,BMD|541265,Merchandise,East,Decals,1/08/2005,107,4,222
0.1,MMT|596241,Merchandise,West,Toys,1/10/2003,28,3,89
0.2,MGN|386528,Games,West,Nintendo,1/07/2027,-29,7,129
0.3,APC|161224,Merchandise,West,Clothing,1/05/2002,23,3,65
0.1,POD|165672,Merchandise,Central,Decals,1/07/2039,21,5,45
0.4,WBP|621538,Consoles,West,PS5,1/05/2028,4,1,43
0.8,JMP|047863,Consoles,South,PS5,1/02/2005,16,3,78
0.4,SSM|797661,Merchandise,South,Mugs,1/08/2038,34,3,114
0.5,BST|332258,Merchandise,East,Toys,1/01/2005,-17,8,21
0.2,SCS|310638,Merchandise,Central,Storage Equipment,1/09/2036,12,3,63
0.3,CAC|242105,Merchandise,South,Clothing,1/11/2045,1,5,13
0.2,KMD|748718,Merchandise,South,Decals,1/03/2043,12,4,26
0.4,CGS|377778,Merchandise,Central,Storage Equipment,1/02/1998,2,2,18
0.7,KHP|436538,Merchandise,East,Peripherals,1/05/2028,17,3,35
0.8,HGS|112264,Games,East,Sony,1/07/2005,-6,4,71
0.6,TBN|098077,Games,South,Nintendo,1/07/2005,16,5,35
0.3,KBS|085333,Games,South,Sony,1/04/2011,43,2,100
0.2,SCN|124433,Consoles,Central,Nintendo Switch,1/08/2019,32,8,648
0.2,JWN|140271,Consoles,West,Nintendo Switch,1/02/2006,-100,9,886
0.3,CRC|958155,Merchandise,East,Clothing,1/03/2048,253,5,905
0.5,SPT|233333,Merchandise,East,Toys,1/04/2011,3,3,8
0.7,DHX|219156,Consoles,West,XBox,1/11/2001,-5,4,411
0.6,YST|107692,Merchandise,South,Toys,1/02/2041,16,3,35
0.7,BMN|355043,Games,East,Nintendo,1/12/2006,67,2,232
0.4,GMN|625229,Consoles,East,Nintendo Switch,1/10/2002,3,2,146
0.4,WBD|530435,Merchandise,West,Decals,1/10/2019,14,1,31
0.5,CJP|664706,Consoles,East,PS5,1/04/2042,3,2,12
0.8,ASS|389362,Merchandise,South,Storage Equipment,1/09/2013,8,2,31
0.2,NHM|485185,Merchandise,West,Mugs,1/07/2000,12,9,36
0.5,DKS|934302,Merchandise,Central,Storage Equipment,1/09/2008,135,5,966
0.7,SCT|976471,Merchandise,South,Toys,1/10/2022,-9,2,11
0.7,BSM|825581,Merchandise,East,Mugs,1/12/2031,5,3,86
0.3,HZX|371679,Consoles,South,XBox,1/02/2040,-81,5,724
0.1,SPN|294087,Games,East,Nintendo,1/01/2005,-56,2,260
0.6,HGT|397297,Merchandise,East,Toys,1/04/2008,-18,2,25
0.2,CCD|488235,Merchandise,West,Decals,1/04/2003,22,7,45
0.8,RPM|261702,Merchandise,West,Mugs,1/12/2041,8,3,31
0.4,CAN|663426,Games,South,Nintendo,1/01/2019,-32,9,144
0.8,TCT|932308,Merchandise,Central,Toys,1/03/2009,-69,7,43
0.2,MVD|103125,Merchandise,East,Decals,1/04/2003,92,4,192
0.1,RCN|188843,Consoles,West,Nintendo Switch,1/06/2003,-8,2,162
0.1,VWS|616468,Merchandise,West,Storage Equipment,1/07/2022,151,9,560
0.5,SSD|534153,Merchandise,South,Decals,1/02/2048,115,5,245
0.1,ABT|654545,Merchandise,South,Toys,1/12/2028,11,2,22
0.3,JMC|105882,Merchandise,East,Clothing,1/09/2006,3,3,12
0.1,PON|293197,Games,South,Nintendo,1/02/2000,328,13,4368
0.8,SPD|865517,Merchandise,East,Decals,1/08/2026,6,4,19
0.7,TPS|529644,Merchandise,West,Storage Equipment,1/03/2037,15,9,169
0.5,BPM|444444,Merchandise,West,Mugs,1/07/2020,5,3,18
0.2,TCD|311111,Merchandise,South,Decals,1/11/2003,12,4,24
0.5,CVX|867576,Consoles,Central,XBox,1/07/2031,-42,4,220
0.5,SCP|659091,Consoles,East,PS5,1/04/2045,5,3,15
0.2,RRN|676890,Consoles,East,Nintendo Switch,1/05/2007,212,6,786
0.1,JKV|559497,Consoles,Central,Vintage,1/12/2024,-175,4,292
0.7,ASC|271429,Merchandise,West,Clothing,1/04/2019,17,3,61
0.2,RLT|733333,Merchandise,Central,Toys,1/04/2011,-3,2,2
0.6,TSX|708312,Consoles,East,XBox,1/07/2009,-251,4,522
0.6,BMN|229032,Consoles,South,Nintendo Switch,1/07/2007,14,4,186
0.3,PPP|644444,Consoles,West,PS5,1/07/2020,3,2,6
0,TTN|748590,Consoles,Central,Nintendo Switch,1/09/2032,240,3,829
0.3,TAP|911905,Consoles,Central,PS5,1/08/2008,-76,2,84
0.6,DBP|825263,Consoles,South,PS5,1/06/2005,14,3,64
0.2,XPS|192857,Games,West,Sony,1/08/2004,2,3,9
0.2,GKD|532353,Merchandise,West,Decals,1/12/2012,22,7,45
0.8,PGT|908571,Merchandise,West,Toys,1/02/2031,16,2,47
0.5,EHP|676923,Merchandise,East,Peripherals,1/02/2010,3,1,9
0.2,GAN|242249,Games,West,Nintendo,1/06/2004,69,5,784
0.7,ATP|786022,Consoles,East,PS5,1/02/2042,27,2,124
0.4,DKV|671667,Consoles,South,Vintage,1/02/2039,-29,3,80
0.5,JHM|869444,Merchandise,South,Mugs,1/07/2020,3,7,24
0.7,PHP|639706,Consoles,South,PS5,1/04/2042,5,3,46
0.2,EMS|123684,Merchandise,South,Shoes,1/07/2040,12,2,25
0.2,TSV|673161,Consoles,East,Vintage,1/06/2048,-227,6,853
0.8,EBD|347619,Merchandise,Central,Decals,1/02/2035,36,3,98
0.3,RAP|057143,Consoles,West,PS5,1/09/2047,3,3,9
0.6,FGM|822727,Merchandise,West,Mugs,1/12/2043,26,4,88
0.4,LWM|347619,Merchandise,West,Mugs,1/02/2035,14,7,42
0.4,LHN|654217,Games,West,Nintendo,1/10/2001,-12,3,55
0.8,JCS|703846,Merchandise,East,Shoes,1/09/2003,8,6,17
0.4,SDF|553333,Merchandise,East,Furniture,1/04/2011,-2,1,10
0,JMD|403614,Merchandise,West,Decals,1/09/2034,80,3,166
0.3,SCT|738462,Merchandise,Central,Toys,1/01/2022,-14,2,9
0.2,DLD|733333,Merchandise,West,Decals,1/04/2011,29,1,84
0.3,QJN|881478,Games,East,Nintendo,1/05/2023,-158,5,678
0.2,MCT|637500,Merchandise,East,Toys,1/03/2025,-4,3,5
0.9,SWB|270455,Merchandise,Central,Batteries,1/06/2021,9,5,29
0.7,RDD|633333,Merchandise,South,Decals,1/04/2011,7,3,16
0.4,JFN|086364,Games,East,Nintendo,1/11/2013,4,3,15
0.5,LWT|062500,Merchandise,East,Toys,1/03/2025,5,2,10
0.3,MHT|284444,Merchandise,South,Toys,1/07/2020,13,2,30
0.6,PWN|003676,Consoles,East,Nintendo Switch,1/11/2039,15,1,91
0.6,ERS|380882,Merchandise,South,Storage Equipment,1/09/2006,4,2,45
0.2,PGP|604167,Consoles,South,PS5,1/09/2048,0,2,64
0.7,TZN|395465,Consoles,West,Nintendo Switch,1/04/2022,75,5,604
0.5,NCS|671642,Games,West,Sony,1/01/2037,5,3,45
0.1,BWT|837333,Merchandise,West,Toys,1/04/2011,18,3,50
0.7,DCS|043943,Merchandise,Central,Storage Equipment,1/10/2011,-35,11,281
0,MLD|198113,Merchandise,Central,Decals,1/10/2003,50,3,106
0.5,MFD|679487,Merchandise,East,Decals,1/02/2024,25,8,52
0.5,LPD|549020,Merchandise,West,Decals,1/12/2041,15,8,34
0.8,NCC|911606,Merchandise,Central,Clothing,1/01/2034,107,2,644
0.8,LSP|783871,Consoles,East,PS5,1/10/2005,8,5,21
0.3,HPN|810156,Consoles,East,Nintendo Switch,1/11/2001,262,5,1243
0.1,ABP|260938,Consoles,South,PS5,1/05/2011,41,2,128
0.1,CCS|041279,Games,Central,Sony,1/10/2006,11,7,115
0.4,JHM|342857,Merchandise,East,Mugs,1/08/2004,2,3,14
0.8,TBN|648408,Games,Central,Nintendo,1/07/2017,28,3,105
0.4,BWP|060163,Consoles,East,PS5,1/07/2048,34,3,82
0.8,LPS|532143,Merchandise,West,Shoes,1/09/2047,18,3,38
0.9,JMP|135537,Consoles,West,PS5,1/04/2028,29,4,81
0.1,JDS|572721,Merchandise,South,Storage Equipment,1/06/2043,-338,6,1802
0.2,KMD|620137,Merchandise,East,Decals,1/06/2047,92,4,196
0.9,KFN|537776,Consoles,West,Nintendo Switch,1/12/1997,257,8,2054
0.2,BDX|131970,Consoles,West,XBox,1/01/2014,-30,3,359
0.1,SDN|897443,Consoles,Central,Nintendo Switch,1/06/2020,-87,7,470
0.1,SPX|646939,Consoles,South,XBox,1/06/2011,8,2,131
0.4,AMV|841522,Consoles,East,Vintage,1/01/2027,-61,1,386
0,FMS|573770,Merchandise,East,Storage Equipment,1/06/1997,0,3,41
0.6,CST|167164,Merchandise,West,Toys,1/07/2001,34,4,90
0.4,JHS|854545,Merchandise,Central,Shoes,1/12/2028,4,2,8
0.8,TCN|414130,Games,West,Nintendo,1/12/2002,6,1,61
0.6,LBS|782692,Merchandise,West,Storage Equipment,1/02/2041,26,3,104
0,DHP|712500,Consoles,West,PS5,1/03/2025,10,1,26
0.8,BFD|628009,Merchandise,West,Decals,1/08/2008,138,6,288
0.2,AGN|648101,Games,West,Nintendo,1/09/2045,9,2,106
0.8,SPS|133401,Games,West,Sony,1/12/2016,218,2,660
0.5,TTD|858333,Merchandise,Central,Decals,1/04/2011,3,2,8
0.4,SSD|531579,Merchandise,South,Decals,1/10/2031,24,7,51
0.7,AJN|134831,Games,South,Nintendo,1/07/2002,5,2,59
0,KHN|375178,Games,South,Nintendo,1/04/2049,140,3,468
0.6,NCT|005556,Merchandise,East,Toys,1/11/2029,6,5,12
0.8,BPD|024731,Merchandise,East,Decals,1/04/2044,28,2,62
0.1,RHP|039785,Consoles,South,PS5,1/09/1998,41,3,187
0.9,JPT|476471,Merchandise,West,Toys,1/10/2022,7,2,23
0.2,CMS|723910,Games,West,Sony,1/01/2009,142,5,475
0.5,SAP|738889,Consoles,West,PS5,1/04/2007,3,4,12
0,NCM|063404,Games,Central,Microsoft,1/03/2017,210,2,600
0.2,GMN|734962,Consoles,West,Nintendo Switch,1/05/2013,149,6,1326
0.2,NCF|404918,Merchandise,West,Furniture,1/09/2009,12,5,41
0.5,PGS|122896,Games,West,Sony,1/11/2007,95,5,595
0.8,CSP|778571,Consoles,Central,PS5,1/02/2031,8,2,19
0.5,CAS|724688,Merchandise,West,Storage Equipment,1/11/2040,125,4,481
0.8,DKS|473913,Merchandise,South,Storage Equipment,1/04/2009,8,2,31
0.5,JLM|237143,Merchandise,South,Mugs,1/09/2047,3,7,23
0.2,MSS|236774,Merchandise,Central,Shoes,1/10/1997,52,7,104
0.2,DFT|733333,Merchandise,Central,Toys,1/04/2011,-3,3,2
0.3,SCT|700820,Merchandise,East,Toys,1/08/2001,-65,7,81
0.5,JAS|327500,Games,East,Sony,1/03/2025,23,2,80
0.6,POS|828485,Merchandise,West,Storage Equipment,1/12/2023,86,2,330
0.6,CMD|849107,Merchandise,East,Decals,1/12/2045,36,8,75
0.6,SPN|106538,Consoles,East,Nintendo Switch,1/05/2028,-13,2,449
0.7,CKS|505405,Merchandise,East,Storage Equipment,1/04/2017,7,2,25
0.9,JKN|856757,Games,West,Nintendo,1/06/1996,17,2,148
0.3,SCS|132153,Merchandise,East,Storage Equipment,1/02/2048,63,6,227
0.1,DJP|949485,Consoles,West,PS5,1/12/2023,21,2,65
0.3,DSN|338764,Games,East,Nintendo,1/12/1996,33,2,119
0.6,ZCD|962500,Merchandise,West,Decals,1/03/2025,4,2,10
0.5,DMT|362531,Merchandise,South,Toys,1/10/2027,1265,3,2691
0.2,PPS|447556,Games,East,Sony,1/11/2029,52,3,150
0.3,CCD|811111,Merchandise,West,Decals,1/11/2003,3,1,6
0,HRS|209205,Games,Central,Sony,1/10/2000,70,4,160
0.6,DRS|906173,Merchandise,Central,Storage Equipment,1/02/2001,4,5,54
0.5,CMT|431430,Merchandise,West,Toys,1/05/2019,683,8,2022
0.2,DWD|212195,Merchandise,West,Decals,1/02/2000,12,3,27
0.7,AGN|197917,Games,West,Nintendo,1/08/2009,35,4,96
0.6,CCN|118919,Games,West,Nintendo,1/10/2009,24,1,272
0.2,TCS|913445,Merchandise,East,Storage Equipment,1/08/2020,22,7,79
0.8,MDS|524675,Games,East,Sony,1/10/2039,-6,5,52
0.5,RDT|807143,Merchandise,West,Toys,1/09/2047,-7,5,9
0.3,CPX|805016,Consoles,Central,XBox,1/10/2041,53,3,213
0.7,DpS|529310,Merchandise,South,Storage Equipment,1/05/2009,65,4,581
0.6,MST|462500,Merchandise,East,Toys,1/03/2025,4,3,11
0.6,PRN|972152,Games,Central,Nintendo,1/01/2002,14,3,158
0,CCS|050676,Games,West,Sony,1/11/2039,40,5,395
0.4,DWD|755556,Merchandise,Central,Decals,1/11/2029,24,6,48
0.5,GKN|332249,Games,West,Nintendo,1/06/2004,23,3,226
0.4,AJM|192857,Merchandise,West,Mugs,1/08/2004,2,2,9
0.6,DVN|624823,Consoles,East,Nintendo Switch,1/11/2001,-3,7,189
0.8,RAS|096111,Games,West,Sony,1/11/2003,58,2,120
0.3,RPM|718571,Merchandise,Central,Mugs,1/02/2031,13,4,47
0.6,AHF|693819,Merchandise,South,Furniture,1/07/2001,-204,5,961
0.4,ADS|238961,Merchandise,West,Storage Equipment,1/04/2013,14,3,51
0.4,JES|360526,Merchandise,East,Storage Equipment,1/05/2027,2,2,26
0.9,TZP|813158,Consoles,West,PS5,1/10/2001,9,6,25
0.2,DKP|321467,Consoles,Central,PS5,1/06/2022,82,6,373
0.4,HFP|177273,Consoles,East,PS5,1/04/2006,4,2,15
0.3,EHM|907692,Merchandise,West,Mugs,1/02/2041,3,3,9
0.1,VBC|675299,Merchandise,Central,Clothing,1/06/2008,30,6,167
0.3,PON|965975,Games,East,Nintendo,1/06/2014,3,7,161
0.4,KBP|993750,Consoles,East,PS5,1/11/1995,4,4,11
0.7,KHD|804348,Merchandise,Central,Decals,1/07/2012,5,3,16
0.2,KBN|825714,Games,East,Nintendo,1/12/2042,32,7,70
0.8,MPD|573118,Merchandise,West,Decals,1/07/2046,28,2,62
0.5,VPS|379950,Merchandise,East,Storage Equipment,1/05/2012,5,3,269
0.6,SPC|969863,Merchandise,Central,Clothing,1/02/2005,-127,3,49
0,RFC|759259,Merchandise,East,Clothing,1/02/2005,10,3,36
0.8,CLS|369680,Merchandise,South,Storage Equipment,1/03/2040,18,5,355
0.2,HKM|430161,Games,Central,Microsoft,1/06/2048,570,5,2400
0.7,NSN|863453,Games,East,Nintendo,1/04/2021,-93,2,430
0.9,VWS|184368,Merchandise,East,Storage Equipment,1/03/2014,349,3,1248
0.4,MET|924945,Merchandise,South,Toys,1/12/2011,274,2,610
0.7,AIP|612658,Merchandise,West,Peripherals,1/05/2038,77,3,158
0.9,BHT|777794,Merchandise,East,Toys,1/06/1999,219,7,448
0.6,SMV|404241,Consoles,East,Vintage,1/10/2003,-82,2,409
0.5,BDV|130027,Consoles,Central,Vintage,1/05/2042,55,2,249
0.2,DBS|444830,Merchandise,East,Storage Equipment,1/06/2002,582,5,2079
0.1,SFS|690816,Merchandise,Central,Storage Equipment,1/04/2001,131,4,523
0.4,NZT|655224,Merchandise,West,Toys,1/05/2002,-36,6,45
0.3,BFP|486667,Consoles,West,PS5,1/02/2039,3,1,10
0.6,RCV|791525,Consoles,West,Vintage,1/04/2027,-171,1,275
0.8,EBS|757143,Merchandise,East,Storage Equipment,1/09/2047,8,3,28
0.6,CVS|439833,Games,Central,Sony,1/09/2002,54,3,240
0.5,MLC|794567,Merchandise,East,Clothing,1/10/2030,83,4,664
0.1,DMS|868750,Merchandise,West,Storage Equipment,1/11/1995,11,1,43
0.7,GGV|742718,Consoles,West,Vintage,1/03/2043,5,3,206
0.7,CMT|163518,Merchandise,South,Toys,1/09/2026,3177,5,6355
0.9,BGS|806987,Merchandise,Central,Storage Equipment,1/05/2015,-27,2,153
0.9,TRP|544828,Consoles,West,PS5,1/04/2002,29,3,58
0.6,KNN|027578,Games,West,Nintendo,1/09/2031,94,14,1075
0.4,BDX|248343,Consoles,South,XBox,1/02/2012,34,2,242
0.4,TSP|018750,Consoles,Central,PS5,1/11/1995,-7,3,10
0.4,CMM|994118,Merchandise,South,Mugs,1/07/2046,4,2,11
0.8,MON|659410,Consoles,South,Nintendo Switch,1/09/2017,188,4,724
0.1,DPT|978125,Merchandise,West,Toys,1/04/2003,8,3,21
0.3,RRD|097436,Merchandise,East,Decals,1/11/2019,13,2,26
0.9,BPS|304723,Merchandise,West,Storage Equipment,1/08/2043,39,5,325
0.1,PFN|397659,Consoles,East,Nintendo Switch,1/06/2038,9,2,200
0.6,MGV|348726,Consoles,Central,Vintage,1/11/2043,-153,3,891
0.1,JPX|258491,Consoles,Central,XBox,1/06/2024,41,4,460
0.8,CCT|785106,Merchandise,South,Toys,1/03/2004,-21,3,31
0.8,MHD|265278,Merchandise,South,Decals,1/09/2006,16,3,48
0.7,NCT|716667,Merchandise,East,Toys,1/02/2039,15,3,40
0.9,NLD|601724,Merchandise,West,Decals,1/09/2043,19,6,39
0.6,LFP|057692,Consoles,Central,PS5,1/02/2041,-10,3,17
0.7,RFT|714943,Merchandise,Central,Toys,1/10/2011,27,3,58
0.3,MAS|663636,Merchandise,East,Shoes,1/07/2036,3,1,7
0.8,BFD|392593,Merchandise,South,Decals,1/12/2032,6,1,18
0,VPS|366667,Games,East,Sony,1/02/2039,10,4,140
0.4,MDT|415385,Merchandise,East,Toys,1/08/2015,-6,6,9
0,JJC|674419,Merchandise,South,Clothing,1/06/2018,10,2,29
0.9,TCD|082759,Merchandise,South,Decals,1/08/1996,9,3,19
0,CBM|144231,Merchandise,East,Mugs,1/12/2002,10,3,35
0.6,RAD|531579,Merchandise,West,Decals,1/10/2031,6,3,13
0.5,RPS|383019,Merchandise,Central,Shoes,1/03/2008,13,3,36
0.4,THP|962500,Consoles,Central,PS5,1/03/2025,-67,5,128
0.8,EMP|314118,Consoles,West,PS5,1/07/2046,-6,2,114
0.9,MSD|944654,Merchandise,West,Decals,1/01/2038,37,7,106
0.7,SCS|044444,Games,West,Sony,1/07/2020,-5,2,30
0.7,JDX|531659,Consoles,West,XBox,1/06/2038,25,3,306
0.5,MOS|727941,Merchandise,West,Storage Equipment,1/08/2011,5,9,136
0.5,GBT|036538,Merchandise,East,Toys,1/05/2028,23,2,69
0.3,JWP|486667,Consoles,South,PS5,1/02/2039,3,2,10
0.8,NCT|561538,Merchandise,East,Toys,1/05/2028,6,4,17
0.2,MYN|452500,Consoles,West,Nintendo Switch,1/03/2025,50,2,802
0,NMP|340708,Consoles,Central,PS5,1/06/2042,20,9,75
0.3,TWD|326316,Merchandise,West,Decals,1/11/2009,53,5,114
0.4,MOS|933333,Games,Central,Sony,1/04/2011,2,3,48
0.8,CCT|833333,Merchandise,Central,Toys,1/04/2011,-10,1,6
0.1,TGN|289324,Consoles,South,Nintendo Switch,1/07/2010,98,7,1125
0.1,CCM|318750,Merchandise,Central,Mugs,1/11/1995,8,2,32
0.1,MSP|477778,Consoles,West,PS5,1/02/1998,31,3,102
0.4,SHN|339783,Consoles,West,Nintendo Switch,1/07/1998,-12,4,307
0.8,LFS|044194,Merchandise,East,Storage Equipment,1/03/2000,68,4,563
0.2,CKP|170293,Consoles,South,PS5,1/12/2007,32,4,160
0.4,SJB|990909,Merchandise,East,Batteries,1/12/2008,4,2,7
0.3,LRS|043658,Merchandise,West,Storage Equipment,1/05/2038,63,6,227
0.8,JOT|110714,Merchandise,West,Toys,1/12/2042,6,4,18
0.8,AAN|172549,Consoles,East,Nintendo Switch,1/04/2029,-5,3,170
0.6,JEN|254494,Consoles,South,Nintendo Switch,1/09/2024,-114,8,832
